play_str,game_str,play_id,play_per_game,base_state,exit_velo,hard_hit,arm_strength_95,arm_bucket,player_name,field_x,field_y,throw_timestamp
y1_d070_ACN_QEA_51,y1_d070_ACN_QEA,51,51,101,90.02815704301055,hard,77.75856473571378,70-85,ACN-1147,-19.1307,31.2978,1485737
y1_d070_ACN_QEA_158,y1_d070_ACN_QEA,158,158,010,78.03158194816028,soft,75.741590464208,70-85,QEA-0365,-23.316,31.7625,5056437
y1_d070_ACN_QEA_219,y1_d070_ACN_QEA,219,219,100,93.85949479996441,hard,75.741590464208,70-85,QEA-0365,-4.4517,60.8319,7251837
y1_d070_ACN_QEA_282,y1_d070_ACN_QEA,282,282,110,84.50642435759505,soft,77.75856473571378,70-85,ACN-1147,-21.1296,37.7163,9457787
y1_d070_ACN_QEA_297,y1_d070_ACN_QEA,297,297,100,90.5533367852751,hard,75.741590464208,70-85,QEA-0365,-8.5794,58.611,9940287
y1_d071_ACN_QEA_71,y1_d071_ACN_QEA,71,71,100,92.84148279824117,hard,81.24234285723396,70-85,ACN-1147,0.7434,78.3819,2023465
y1_d071_ACN_QEA_84,y1_d071_ACN_QEA,84,84,110,83.0719765686966,soft,81.24234285723396,70-85,ACN-1147,-26.8185,49.9236,2693315
y1_d071_ACN_QEA_260,y1_d071_ACN_QEA,260,260,111,87.2924512859329,hard,81.24234285723396,70-85,ACN-1147,-11.787,8.4138,8693465
y1_d071_ACN_QEA_338,y1_d071_ACN_QEA,338,338,110,84.21493289716106,soft,81.24234285723396,70-85,ACN-1147,-6.6666,52.1583,11633619
y1_d072_ACN_QEA_263,y1_d072_ACN_QEA,263,122,000,90.6824588412448,hard,80.81753004836106,70-85,ACN-1147,-10.2804,67.3563,3817299
y1_d072_ACN_QEA_81,y1_d072_ACN_QEA,81,239,110,81.78526167334778,soft,80.81753004836106,70-85,ACN-1147,5.6601,4.9836,7544849
y1_d052_APZ_QEA_10,y1_d052_APZ_QEA,10,10,000,82.77336059733632,soft,80.1959300597354,70-85,QEA-0424,11.7234,69.0564,208983
y1_d052_APZ_QEA_112,y1_d052_APZ_QEA,112,112,000,88.07872012228688,hard,64.56392521979342,<70,APZ-2471,-2.9004,68.0667,3860156
y1_d052_APZ_QEA_166,y1_d052_APZ_QEA,166,166,110,75.49592830447038,soft,80.1959300597354,70-85,QEA-0424,-16.1211,62.9367,5931106
y1_d052_APZ_QEA_190,y1_d052_APZ_QEA,190,190,001,77.62542888290903,soft,64.56392521979342,<70,APZ-2471,11.6739,64.0668,6737256
y1_d052_APZ_QEA_200,y1_d052_APZ_QEA,200,200,000,87.07001733631662,hard,80.1959300597354,70-85,QEA-0424,9.4725,70.7103,7177056
y1_d052_APZ_QEA_237,y1_d052_APZ_QEA,237,237,111,87.47256497122167,hard,80.1959300597354,70-85,QEA-0424,-1.512,53.8887,8693656
y1_d052_APZ_QEA_308,y1_d052_APZ_QEA,308,308,010,91.01249321063118,hard,64.56392521979342,<70,APZ-2471,7.1961,55.3407,11103856
y1_d052_APZ_QEA_323,y1_d052_APZ_QEA,323,323,110,89.44634932631072,hard,80.1959300597354,70-85,QEA-0424,-4.0086,19.5303,11530556
y1_d052_APZ_QEA_340,y1_d052_APZ_QEA,340,340,011,92.00086086958308,hard,80.1959300597354,70-85,QEA-0424,7.1934,26.4819,12271506
y1_d052_APZ_QEA_343,y1_d052_APZ_QEA,343,343,111,87.06878425133425,hard,NA,NA,NA,NA,NA,NA
y1_d053_APZ_QEA_134,y1_d053_APZ_QEA,134,134,010,85.94762844650592,soft,80.66349868322787,70-85,QEA-0252,-26.3934,46.2981,4525940
y1_d053_APZ_QEA_162,y1_d053_APZ_QEA,162,162,000,85.98385698317239,soft,62.25422492590583,<70,APZ-1543,-7.6944,52.8873,5893476
y1_d053_APZ_QEA_221,y1_d053_APZ_QEA,221,221,000,82.44255696118826,soft,80.66349868322787,70-85,QEA-0252,-12.7602,37.2552,8121326
y1_d053_APZ_QEA_223,y1_d053_APZ_QEA,223,223,100,74.59148348590085,soft,80.66349868322787,70-85,QEA-0252,-11.8842,-1.0845,8188576
y1_d053_APZ_QEA_227,y1_d053_APZ_QEA,227,227,010,86.6668279036728,hard,80.66349868322787,70-85,QEA-0252,11.7714,-4.4781,8336776
y1_d054_APZ_QEA_23,y1_d054_APZ_QEA,23,23,001,84.44852650924902,soft,75.0732381339912,70-85,APZ-1543,-19.8312,49.6851,777679
y1_d054_APZ_QEA_45,y1_d054_APZ_QEA,45,45,000,86.27401127336556,hard,79.62844729966099,70-85,QEA-0424,11.4579,70.9104,1509779
y1_d054_APZ_QEA_77,y1_d054_APZ_QEA,77,77,000,78.56858766359251,soft,79.62844729966099,70-85,QEA-0424,-1.4211,79.6425,2526579
y1_d054_APZ_QEA_116,y1_d054_APZ_QEA,116,116,111,84.30852218813662,soft,75.0732381339912,70-85,APZ-1543,-13.3311,10.0308,4088279
y1_d054_APZ_QEA_133,y1_d054_APZ_QEA,133,133,000,92.79145189715788,hard,79.62844729966099,70-85,QEA-0424,13.8093,69.3495,4616729
y1_d001_CGA_QEA_28,y1_d001_CGA_QEA,28,28,000,89.85169211755391,hard,50.60844185188352,<70,CGA-1547,4.5084,66.1719,895399
y1_d001_CGA_QEA_108,y1_d001_CGA_QEA,108,108,111,80.79069380789468,soft,64.26354718843793,<70,QEA-0235,10.1343,-16.0719,4099455
y1_d001_CGA_QEA_137,y1_d001_CGA_QEA,137,137,000,82.90193218841316,soft,64.26354718843793,<70,QEA-0235,1.0266,55.7301,5202905
y1_d001_CGA_QEA_189,y1_d001_CGA_QEA,189,189,001,74.14489690758693,soft,50.60844185188352,<70,CGA-1547,4.2363,53.6346,7294580
y1_d001_CGA_QEA_256,y1_d001_CGA_QEA,256,256,000,87.19850592038894,hard,64.26354718843793,<70,QEA-0235,-0.3471,71.4921,9871680
y1_d001_CGA_QEA_308,y1_d001_CGA_QEA,308,308,100,82.68654496793313,soft,64.26354718843793,<70,QEA-0235,-3.8967,61.9419,11785980
y1_d002_CGA_QEA_125,y1_d002_CGA_QEA,125,125,110,79.10462474256614,soft,64.6524672371519,<70,QEA-0235,11.2944,64.1925,4431571
y1_d003_CGA_QEA_150,y1_d003_CGA_QEA,150,150,000,82.53509284853176,soft,77.22402609554818,70-85,CGA-1547,-18.225,48.8373,6124756
y1_d003_CGA_QEA_277,y1_d003_CGA_QEA,277,277,000,84.88684063357297,soft,77.22402609554818,70-85,CGA-1547,-9.4794,11.6004,11358418
y1_d004_CGA_QEA_6,y1_d004_CGA_QEA,6,6,000,82.44512824881924,soft,61.94043817846275,<70,QEA-0252,10.2387,46.0746,128617
y1_d086_CRQ_QEA_59,y1_d086_CRQ_QEA,59,59,100,85.66846031228252,soft,65.28109943562771,<70,QEA-0421,NA,NA,NA
y1_d086_CRQ_QEA_206,y1_d086_CRQ_QEA,206,206,000,79.30726753042246,soft,65.28109943562771,<70,QEA-0421,NA,NA,NA
y1_d086_CRQ_QEA_286,y1_d086_CRQ_QEA,286,286,000,88.66320661237677,hard,65.28109943562771,<70,QEA-0421,NA,NA,NA
y1_d086_CRQ_QEA_296,y1_d086_CRQ_QEA,296,296,000,94.07780328578913,hard,65.28109943562771,<70,QEA-0421,NA,NA,NA
y1_d088_CRQ_QEA_157,y1_d088_CRQ_QEA,157,157,100,89.44986631494405,hard,71.76676576830066,70-85,QEA-0182,2.2386,69.2604,5111413
y1_d088_CRQ_QEA_203,y1_d088_CRQ_QEA,203,203,100,91.68445305322439,hard,71.76676576830066,70-85,QEA-0182,8.5878,66.9993,6546463
y1_d088_CRQ_QEA_217,y1_d088_CRQ_QEA,217,217,100,83.34963545155752,soft,71.76676576830066,70-85,QEA-0182,-14.5263,67.5525,7276763
y1_d088_CRQ_QEA_220,y1_d088_CRQ_QEA,220,220,110,84.67519327246634,soft,71.76676576830066,70-85,QEA-0182,-21.0636,54.8295,7371463
y1_d088_CRQ_QEA_231,y1_d088_CRQ_QEA,231,231,011,89.4615946532934,hard,71.76676576830066,70-85,QEA-0182,6.459,5.5977,7913463
y1_d088_CRQ_QEA_257,y1_d088_CRQ_QEA,257,257,100,89.87968903751283,hard,66.93456961731954,<70,CRQ-2005,0.0045,58.2276,8720063
y1_d088_CRQ_QEA_268,y1_d088_CRQ_QEA,268,268,100,77.65185030250134,soft,71.76676576830066,70-85,QEA-0182,-1.1664,69.4845,9106463
y1_d089_CRQ_QEA_188,y1_d089_CRQ_QEA,188,188,000,88.55214771318835,hard,59.583668741593385,<70,QEA-0182,-1.5699,62.6514,6525689
y1_d089_CRQ_QEA_217,y1_d089_CRQ_QEA,217,217,000,93.5601074390018,hard,59.583668741593385,<70,QEA-0182,3.9468,85.2108,7619989
y1_d079_FBP_QEA_160,y1_d079_FBP_QEA,160,160,000,84.56683619223294,soft,73.38787600273982,70-85,FBP-2143,12.4503,63.1398,5143246
y1_d080_FBP_QEA_54,y1_d080_FBP_QEA,54,54,011,90.6887656930734,hard,50.3710820655464,<70,FBP-2143,-0.3885,58.3824,1313362
y1_d080_FBP_QEA_75,y1_d080_FBP_QEA,75,75,001,88.05009370029927,hard,65.3970174585185,<70,QEA-0421,-39.4425,38.0055,1967362
y1_d080_FBP_QEA_293,y1_d080_FBP_QEA,293,293,101,92.43390871308408,hard,65.3970174585185,<70,QEA-0421,-12.9957,55.4232,9448512
