play_str,game_str,play_id,play_per_game,base_state,exit_velo,hard_hit,arm_strength_95,arm_bucket,player_name,field_x,field_y,throw_timestamp
y1_d070_ACN_QEA_6,y1_d070_ACN_QEA,6,6,000,85.36089876476281,soft,66.0211732090241,<70,QEA-0424,0.6141,64.611,117737
y1_d070_ACN_QEA_42,y1_d070_ACN_QEA,42,42,110,88.77317827974278,hard,84.858999836462,70-85,ACN-1180,-12.6306,40.1154,1183037
y1_d070_ACN_QEA_118,y1_d070_ACN_QEA,118,118,010,75.36574730376495,soft,66.0211732090241,<70,QEA-0424,9.6555,16.6107,3766137
y1_d071_ACN_QEA_165,y1_d071_ACN_QEA,165,165,100,74.61879904626934,soft,76.19255784498219,70-85,QEA-0364,-5.5053,34.2423,5428115
y1_d071_ACN_QEA_213,y1_d071_ACN_QEA,213,213,000,89.84453925133813,hard,72.3259037550156,70-85,ACN-1180,-0.909,63.7062,7177065
y1_d071_ACN_QEA_294,y1_d071_ACN_QEA,294,294,000,82.42347513840151,soft,76.19255784498219,70-85,QEA-0364,8.2551,64.6917,10043019
y1_d071_ACN_QEA_326,y1_d071_ACN_QEA,326,326,000,90.16150108123747,hard,76.19255784498219,70-85,QEA-0364,21.6153,78.3684,11134369
y1_d071_ACN_QEA_327,y1_d071_ACN_QEA,327,327,100,91.84818835193494,hard,76.19255784498219,70-85,QEA-0364,-15.8901,41.166,11182419
y1_d072_ACN_QEA_257,y1_d072_ACN_QEA,257,116,000,88.38109697133895,hard,53.69279932422637,<70,ACN-1180,-1.2657,70.6518,3666249
y1_d052_APZ_QEA_199,y1_d052_APZ_QEA,199,199,000,88.05299783379006,hard,77.6984244450063,70-85,QEA-0235,-12.9573,53.9463,7127706
y1_d052_APZ_QEA_209,y1_d052_APZ_QEA,209,209,000,90.46341683999051,hard,83.53149714531287,70-85,APZ-1778,-1.6062,70.5711,7577256
y1_d052_APZ_QEA_253,y1_d052_APZ_QEA,253,253,010,83.13384724941342,soft,83.53149714531287,70-85,APZ-1778,-12.4359,45.2145,9203256
y1_d052_APZ_QEA_293,y1_d052_APZ_QEA,293,293,000,84.69726958015283,soft,83.53149714531287,70-85,APZ-1778,1.3695,59.0166,10526106
y1_d052_APZ_QEA_298,y1_d052_APZ_QEA,298,298,000,85.85632993734559,soft,83.53149714531287,70-85,APZ-1778,-17.4648,31.8495,10680756
y1_d052_APZ_QEA_304,y1_d052_APZ_QEA,304,304,100,83.70267170983725,soft,83.53149714531287,70-85,APZ-1778,0.8736,51.8889,10894206
y1_d053_APZ_QEA_194,y1_d053_APZ_QEA,194,194,001,90.17466373990882,hard,65.62298010300853,<70,QEA-0364,-10.3668,58.4493,7203926
y1_d053_APZ_QEA_199,y1_d053_APZ_QEA,199,199,100,90.14489105878702,hard,78.40176522730708,70-85,APZ-1778,-11.5008,11.2707,7359126
y1_d053_APZ_QEA_218,y1_d053_APZ_QEA,218,218,000,77.21641244077817,soft,65.62298010300853,<70,QEA-0364,9.3495,61.3821,8012076
y1_d054_APZ_QEA_107,y1_d054_APZ_QEA,107,107,110,88.7446011249307,hard,85.2086620365251,85-100,APZ-1778,8.5758,5.0703,3601479
y1_d054_APZ_QEA_163,y1_d054_APZ_QEA,163,163,110,92.01803717135017,hard,71.19060215195897,70-85,QEA-0235,-13.2681,-5.7111,5644379
y1_d054_APZ_QEA_314,y1_d054_APZ_QEA,314,314,100,84.8748079531615,soft,71.19060215195897,70-85,QEA-0235,-14.8296,59.6709,10684529
y1_d055_APZ_QEA_11,y1_d055_APZ_QEA,11,11,000,91.40112079240264,hard,55.05086357455726,<70,QEA-0364,-6.4284,48.9996,280982
y1_d055_APZ_QEA_84,y1_d055_APZ_QEA,84,84,100,87.85513206991826,hard,69.70382278961803,<70,APZ-1778,-1.1832,76.6872,2630582
y1_d055_APZ_QEA_142,y1_d055_APZ_QEA,142,142,110,86.95450434572729,hard,69.70382278961803,<70,APZ-1778,-15.2661,56.6871,4521782
y1_d055_APZ_QEA_186,y1_d055_APZ_QEA,186,186,100,85.46213646770956,soft,69.70382278961803,<70,APZ-1778,-15.6561,50.7834,5950532
y1_d055_APZ_QEA_202,y1_d055_APZ_QEA,202,202,100,87.9079229364616,hard,69.70382278961803,<70,APZ-1778,-7.0542,55.7658,6462032
y1_d055_APZ_QEA_230,y1_d055_APZ_QEA,230,230,100,90.13928105508076,hard,69.70382278961803,<70,APZ-1778,-10.0734,63.8457,7652132
y1_d001_CGA_QEA_4,y1_d001_CGA_QEA,4,4,100,87.10645336348607,hard,81.85625278638987,70-85,QEA-0249,-12.588,36.9105,88399
y1_d001_CGA_QEA_128,y1_d001_CGA_QEA,128,128,000,89.32308662882431,hard,58.30716138725505,<70,CGA-1198,0.6741,52.8669,4861755
y1_d001_CGA_QEA_262,y1_d001_CGA_QEA,262,262,000,87.19593371675157,hard,81.85625278638987,70-85,QEA-0249,4.6056,7.3185,10056130
y1_d001_CGA_QEA_271,y1_d001_CGA_QEA,271,271,000,77.75261247132461,soft,81.85625278638987,70-85,QEA-0249,5.3472,16.9107,10367430
