play_str,game_str,play_id,play_per_game,base_state,exit_velo,hard_hit,arm_strength_95,arm_bucket,player_name,field_x,field_y,throw_timestamp
y1_d070_ACN_QEA_37,y1_d070_ACN_QEA,37,37,000,80.71461540524727,soft,53.46364587105565,<70,ACN-2455,-3.3114,77.0652,1010937
y1_d070_ACN_QEA_40,y1_d070_ACN_QEA,40,40,100,87.61978329376426,hard,53.46364587105565,<70,ACN-2455,-24.5709,46.4337,1107437
y1_d070_ACN_QEA_117,y1_d070_ACN_QEA,117,117,000,88.5533858081236,hard,81.22886918173701,70-85,QEA-0249,12.8394,68.0991,3720337
y1_d070_ACN_QEA_243,y1_d070_ACN_QEA,243,243,100,80.88816281826858,soft,53.46364587105565,<70,ACN-2455,4.1838,64.3188,8066537
y1_d071_ACN_QEA_97,y1_d071_ACN_QEA,97,97,100,90.80032135024074,hard,67.95042486941834,<70,QEA-0249,20.6505,66.0699,3167265
y1_d071_ACN_QEA_286,y1_d071_ACN_QEA,286,286,000,91.46864851242165,hard,67.95042486941834,<70,QEA-0249,1.5618,68.3046,9812819
y1_d072_ACN_QEA_150,y1_d072_ACN_QEA,150,9,000,80.14817082408433,soft,78.4238060758327,70-85,QEA-0252,12.8826,66.2937,174949
y1_d072_ACN_QEA_200,y1_d072_ACN_QEA,200,59,000,83.93546333658325,soft,68.43626349229767,<70,ACN-2455,6.2187,58.9446,1740949
y1_d072_ACN_QEA_203,y1_d072_ACN_QEA,203,62,100,89.9887769129082,hard,68.43626349229767,<70,ACN-2455,-18.1968,46.0023,1829699
y1_d072_ACN_QEA_60,y1_d072_ACN_QEA,60,218,000,88.74497241791107,hard,68.43626349229767,<70,ACN-2455,-0.39,75.7161,6923949
y1_d072_ACN_QEA_100,y1_d072_ACN_QEA,100,258,100,87.6018064793409,hard,78.4238060758327,70-85,QEA-0252,-23.5272,52.2867,8246799
y1_d072_ACN_QEA_137,y1_d072_ACN_QEA,137,295,000,85.06154459119787,soft,78.4238060758327,70-85,QEA-0252,-56.3667,51.1701,9538049
y1_d052_APZ_QEA_15,y1_d052_APZ_QEA,15,15,100,80.86279508539735,soft,87.74616247211164,85-100,QEA-0252,-21.8196,46.4373,342683
y1_d052_APZ_QEA_152,y1_d052_APZ_QEA,152,152,000,80.79630623134565,soft,87.74616247211164,85-100,QEA-0252,-44.967,33.831,5223356
y1_d052_APZ_QEA_387,y1_d052_APZ_QEA,387,387,000,85.98883370312069,soft,30.815254660469083,<70,APZ-1543,-24.1437,22.9077,13999206
y1_d053_APZ_QEA_5,y1_d053_APZ_QEA,5,5,000,82.81890828185387,soft,67.41282341791468,<70,QEA-0249,44.7177,76.9326,83490
y1_d053_APZ_QEA_40,y1_d053_APZ_QEA,40,40,100,91.70116892677021,hard,67.41282341791468,<70,QEA-0249,1.3836,66.1659,1319990
